epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.325,0.35231,1.40956,1.1645,0.99992,1,0.995,0.995,0.1415,0.48686,0.196,0.00066092,0.00066092,0.00066092
2,440.436,0.08552,0.3332,0.93212,0.98402,0.96,0.99343,0.98618,0.3479,0.50204,0.53768,0.00119616,0.00119616,0.00119616
3,630.941,0.09652,0.1612,0.94067,0.8513,0.95752,0.92352,0.82794,0.52369,1.2101,0.83775,0.00159939,0.00159939,0.00159939
4,814.976,0.08318,0.10373,0.93087,0.99619,0.99787,0.99433,0.99048,0.22827,0.81627,0.32626,0.001406,0.001406,0.001406
5,1000.2,0.06129,0.07229,0.91641,0.99849,1,0.995,0.99382,0.21949,0.41209,0.31768,0.001208,0.001208,0.001208
6,1182.63,0.05387,0.06418,0.90861,0.72575,0.99504,0.99451,0.98862,0.28614,1.68089,0.40949,0.00101,0.00101,0.00101
7,1366.86,0.04378,0.053,0.91116,0.99987,1,0.995,0.995,0.19395,0.50741,0.28628,0.000812,0.000812,0.000812
8,1551.33,0.03451,0.0431,0.90619,0.99991,1,0.995,0.9948,0.17819,0.75529,0.27452,0.000614,0.000614,0.000614
9,1733.61,0.0309,0.03945,0.90273,0.99996,1,0.995,0.995,0.16328,0.5733,0.24343,0.000416,0.000416,0.000416
10,1918.02,inf,0.03021,0.90375,0.99996,1,0.995,0.995,0.169,0.22486,0.24044,0.000218,0.000218,0.000218
