path,class,detected,score,box,action
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP1149993601997136677.jpg,1.85mm-F,yes,0.924,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP133370266409716465.jpg,1.85mm-F,yes,0.928,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP1430832065103829457.jpg,1.85mm-F,yes,0.725,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP1549492778066330776.jpg,1.85mm-F,yes,0.603,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP1624605991728527196.jpg,1.85mm-F,yes,0.467,0|0|75|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP1883019301857962727.jpg,1.85mm-F,yes,0.641,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP2395031020905727600.jpg,1.85mm-F,yes,0.958,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP2440784343173444547.jpg,1.85mm-F,yes,0.931,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP280489723537997779.jpg,1.85mm-F,yes,0.903,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP2821608553377449104.jpg,1.85mm-F,yes,0.716,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP2921514832290908024.jpg,1.85mm-F,yes,0.868,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP2939429314133329039.jpg,1.85mm-F,yes,0.925,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP3047497994019449353.jpg,1.85mm-F,yes,0.947,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP3064218616670342544.jpg,1.85mm-F,yes,0.919,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP345904109355676259.jpg,1.85mm-F,yes,0.900,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP450836509982458971.jpg,1.85mm-F,yes,0.644,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP4740813068792624298.jpg,1.85mm-F,yes,0.851,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP4749039572282015521.jpg,1.85mm-F,yes,0.936,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP4860721559501511121.jpg,1.85mm-F,yes,0.822,0|185|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP5033620544870960332.jpg,1.85mm-F,yes,0.820,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP5182538368126985977.jpg,1.85mm-F,yes,0.916,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP5719396939420469165.jpg,1.85mm-F,yes,0.957,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP5807186973161709687.jpg,1.85mm-F,yes,0.648,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP6213527549571805137.jpg,1.85mm-F,yes,0.874,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP6548223935838178845.jpg,1.85mm-F,yes,0.863,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP6604716105121583193.jpg,1.85mm-F,yes,0.790,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP7073799804336817433.jpg,1.85mm-F,yes,0.851,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP7347684785844912365.jpg,1.85mm-F,yes,0.947,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP7736208621700592391.jpg,1.85mm-F,yes,0.918,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP7761863378270830721.jpg,1.85mm-F,yes,0.784,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP7774864926418544475.jpg,1.85mm-F,yes,0.735,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP8886866489030902270.jpg,1.85mm-F,yes,0.932,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP8965137308969262679.jpg,1.85mm-F,yes,0.525,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP9049392387046090517.jpg,1.85mm-F,yes,0.887,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP9115676177059533123.jpg,1.85mm-F,yes,0.458,0|468|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-14_CAP9122869086043905742.jpg,1.85mm-F,yes,0.874,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP1118102755691146398.jpg,1.85mm-F,yes,0.661,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP1446720885218944183.jpg,1.85mm-F,yes,0.878,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP1571399657469240256.jpg,1.85mm-F,yes,0.777,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP2513248961629323069.jpg,1.85mm-F,yes,0.757,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP2595106792705396798.jpg,1.85mm-F,yes,0.755,0|548|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP3000030639888352018.jpg,1.85mm-F,yes,0.959,0|0|3060|3986,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP3509355293746022423.jpg,1.85mm-F,yes,0.935,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP3653310130489797643.jpg,1.85mm-F,yes,0.857,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP369647032993327463.jpg,1.85mm-F,yes,0.934,0|0|3060|4063,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP4162304858933136939.jpg,1.85mm-F,yes,0.776,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP4356623754280918683.jpg,1.85mm-F,yes,0.837,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP4602673466043511152.jpg,1.85mm-F,yes,0.925,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP4763338401289521280.jpg,1.85mm-F,yes,0.452,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP482120969456346975.jpg,1.85mm-F,yes,0.972,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP5139844799502796719.jpg,1.85mm-F,yes,0.921,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP5332435425909172253.jpg,1.85mm-F,yes,0.904,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP5556367628145694100.jpg,1.85mm-F,yes,0.988,0|0|3060|4080,cropped
data/labeled/embedder/1.85mm-F/photo_2026-05-16_CAP5823908926607575321.jpg,1.85mm-F,yes,0.964,0|0|3060|4080,cropped
